,종목명,회계년,총자산(천원),*매출원가율(%),당기순이익(천원),영업이익률(%),매출총이익률(%),ROE(당기순이익)(%),당기순이익률(%),매출액(천원),총자산순이익률(%)
44,CJ씨푸드,2018,126515257.0,87.85,2154614.0,2.74,12.15,3.54,1.43,150703085.0,119.11850679005458
45,CJ제일제당,2010,6002563148.0,69.91,659757234.0,7.83,30.09,N/A(IFRS),11.42,5777780773.0,96.25522681798199
46,CJ제일제당,2011,11339519300.0,72.99,314022590.0,7.03,27.01,8.52,4.80,6538208074.0,57.65859999021299
47,CJ제일제당,2012,12363882660.0,77.92,310715670.0,6.23,22.08,6.27,3.15,9877532183.0,79.89021292604211
48,CJ제일제당,2013,13004490092.0,80.84,71061595.0,3.18,19.16,1.42,0.66,10847718244.0,83.41517558364872
49,CJ제일제당,2014,13382531013.0,79.12,137851320.0,4.96,20.88,2.82,1.18,11701797228.0,87.44083773564725
50,CJ제일제당,2015,13751265058.0,77.67,253666762.0,5.81,22.33,4.91,1.96,12924472295.0,93.98751489762753
51,CJ제일제당,2016,15766238539.0,77.42,353548749.0,5.79,22.58,6.18,2.43,14563257246.0,92.36989031959489
52,CJ제일제당,2017,16868123895.0,78.43,412797743.0,4.71,21.57,6.76,2.51,16477174023.0,97.68231562422966
53,CJ제일제당,2018,19497022884.0,81.02,925388625.0,4.46,18.98,13.76,4.96,18670059989.0,95.75851708273555
54,CS홀딩스,2010,161071811.0,84.43,4998486.0,4.73,15.57,N/A(IFRS),5.98,83543854.0,51.86745804950314
55,CS홀딩스,2011,188753459.0,82.19,11767923.0,10.73,17.81,7.79,10.71,109922652.0,58.236099397786404
56,CS홀딩스,2012,218181889.0,82.53,10688943.0,9.94,17.47,6.03,7.27,147082090.0,67.41260270232604
57,CS홀딩스,2013,233929444.0,79.36,13013047.0,12.37,20.64,6.58,9.03,144070787.0,61.5872822747358
58,CS홀딩스,2014,260355830.0,75.87,14362390.0,14.83,24.13,6.71,10.15,141559850.0,54.37168432141504
59,CS홀딩스,2015,284933124.0,73.36,29603865.0,16.33,26.64,12.59,21.30,138970755.0,48.77311316040602
60,CS홀딩스,2016,293927435.0,72.81,17138786.0,16.11,27.19,6.75,13.92,123144962.0,41.89638235028996
61,CS홀딩스,2017,302433875.0,74.2,14264795.0,14.08,25.8,5.37,11.79,120959822.0,39.995460825940874
62,CS홀딩스,2018,304418193.0,76.72,12641149.0,10.87,23.28,4.65,10.32,122550869.0,40.25740636335753
63,DB,2010,679304595.0,89.69,4221758.0,-2.07,10.31,N/A(IFRS),2.20,192315364.0,28.31062316014512
64,DB,2011,686746431.0,89.77,5080545.0,2.83,10.23,1.84,0.99,511077050.0,74.42005184589011
65,DB,2012,693327543.0,88.77,2952394.0,4.01,11.23,1.07,0.54,544542768.0,78.54047823396509
66,DB,2013,638356756.0,89.38,-63801967.0,2.44,10.62,-23.53,-14.40,442931289.0,69.38616766202126
67,DB,2014,365853366.0,89.26,-124525731.0,-5.28,10.74,-69.85,-48.98,254222497.0,69.48753807556878
68,DB,2015,276200611.0,88.7,13186937.0,4.79,11.3,9.55,6.47,203671200.0,73.740314788804
69,DB,2016,214971054.0,86.45,-20712779.0,5.32,13.55,-13.05,-10.11,204809968.0,95.27327711757881
70,DB,2017,197512862.0,88.16,-957332.0,1.96,11.84,-0.66,-0.49,196815885.0,99.64712323392894
71,DB,2018,288416201.0,85.22,-3975420.0,0.68,14.78,-2.87,-1.68,237112636.0,82.21196839077705
72,DB하이텍,2010,1381251114.0,121.57,-191152903.0,-45.35,-21.57,N/A(IFRS),-30.83,620043034.0,44.8899572073033
73,DB하이텍,2011,1199043869.0,83.38,-97946584.0,-6.41,16.62,-27.74,-17.74,552216245.0,46.05471570114838
74,DB하이텍,2012,1157755031.0,83.62,-31324452.0,-2.64,16.38,-10.46,-5.30,590786488.0,51.028626279405046
75,DB하이텍,2013,1058391832.0,81.92,-83046768.0,-1.95,18.08,-33.51,-16.82,493752028.0,46.65115631769161
76,DB하이텍,2014,984876636.0,75.89,-77008844.0,8.03,24.11,-47.32,-13.56,567718224.0,57.64358735381758
77,DB하이텍,2015,984643712.0,65.54,126733352.0,18.75,34.46,67.63,19.01,666594987.0,67.69910566391755
78,DB하이텍,2016,986788572.0,62.49,88344018.0,22.30,37.51,29.65,11.43,773140180.0,78.34912178127657
79,DB하이텍,2017,993950720.0,62.7,110175089.0,21.07,37.3,27.62,16.21,679737744.0,68.38746935059315
80,DB하이텍,2018,1066533840.0,67.83,86828768.0,16.88,32.17,17.12,12.97,669279136.0,62.7527332841122
81,DI동일,2010,947732235.0,76.4,24549688.0,5.17,23.6,N/A(IFRS),3.48,704470635.0,74.33224374815109
82,DI동일,2011,976868870.0,75.89,17392359.0,3.71,24.11,2.96,2.24,776168097.0,79.45468637975944
83,DI동일,2012,919993876.0,76.94,-5288493.0,-0.16,23.06,-0.92,-0.70,752261690.0,81.76811929126363
84,DI동일,2013,994215519.0,73.61,14777664.0,3.63,26.39,2.62,1.91,773111419.0,77.76094862989157
85,DI동일,2014,984816252.0,75.02,4214217.0,1.84,24.98,0.75,0.55,764599768.0,77.63882515618762
86,DI동일,2015,978717602.0,76.74,-7462619.0,1.35,23.26,-1.35,-0.96,774113876.0,79.09471275658125
87,DI동일,2016,986880679.0,76.18,1088501.0,2.10,23.82,0.20,0.13,822414467.0,83.33474192982959
88,DI동일,2017,931120054.0,74.99,-4101891.0,2.59,25.01,-0.77,-0.48,847124067.0,90.97903791899213
89,DI동일,2018,947634081.0,73.02,13824872.0,4.89,26.98,2.67,1.52,909348930.0,95.95992253047724
90,DL,2010,9743169232.0,88.2,357959926.0,5.21,11.8,N/A(IFRS),4.81,7437579437.0,76.33634662294861
91,DL,2011,10764643410.0,88.36,379837529.0,5.48,11.64,8.56,4.76,7988145801.0,74.20724957390856
92,DL,2012,11006469363.0,89.92,400787862.0,4.74,10.08,8.39,3.91,10253347411.0,93.15746106074906
93,DL,2013,10783047096.0,94.83,-10332432.0,0.40,5.17,-0.21,-0.10,9846917119.0,91.31850238002521
94,DL,2014,10596719329.0,97.89,-440509288.0,-2.91,2.11,-9.44,-4.74,9294733962.0,87.71331648431169
95,DL,2015,12064893870.0,91.83,216969093.0,2.86,8.17,4.68,2.28,9513673300.0,78.85418141684822
96,DL,2016,12391509195.0,90.1,293195326.0,4.26,9.9,5.89,2.98,9853769999.0,79.52033803094797
97,DL,2017,13402454876.0,90.3,507998796.0,4.43,9.7,9.37,4.12,12335536233.0,92.03937895802545
98,DL,2018,12833716732.0,87.07,678088774.0,7.70,12.93,11.55,6.17,10984485292.0,85.59083484062674
99,DN오토모티브,2010,747482027.0,83.48,56833092.0,8.88,16.52,N/A(IFRS),11.89,477868220.0,63.93039601472586
100,DN오토모티브,2011,740062652.0,83.08,52783691.0,9.20,16.92,10.99,9.38,562794298.0,76.0468450176567
101,DN오토모티브,2012,730588820.0,85.45,57994697.0,6.52,14.55,10.89,9.16,632802344.0,86.61538839315936
102,DN오토모티브,2013,798296716.0,84.6,48548951.0,7.81,15.4,8.39,7.28,666499706.0,83.49022270060297
103,DN오토모티브,2014,971558345.0,86.0,44820210.0,6.27,14.0,7.18,6.21,721986990.0,74.31226273909468
104,DN오토모티브,2015,1064506282.0,83.15,74664005.0,9.33,16.85,10.85,8.20,910458499.0,85.52871076433911
105,DN오토모티브,2016,1115539571.0,83.66,83981344.0,8.20,16.34,11.08,10.55,795682660.0,71.32715689204359
106,DN오토모티브,2017,778625093.0,85.1,53477949.0,6.77,14.9,8.21,6.09,877858995.0,112.74476033358458
107,DN오토모티브,2018,870759626.0,85.45,58472496.0,7.89,14.55,10.87,6.44,908521022.0,104.33660391139907
108,DRB동일,2010,470098590.0,77.06,18293864.0,7.19,22.94,N/A(IFRS),4.69,389699028.0,82.89729777747259
109,DRB동일,2011,522115419.0,80.73,28175622.0,5.85,19.27,13.26,9.77,288436159.0,55.24375425503379
110,DRB동일,2012,368994998.0,78.12,29877375.0,8.31,21.88,15.93,8.89,336113707.0,91.08896023571572
111,DRB동일,2013,567066429.0,78.45,30256316.0,8.05,21.55,13.83,7.19,421068531.0,74.25382802902621
112,DRB동일,2014,617244613.0,75.05,48312861.0,11.83,24.95,15.49,8.26,585108837.0,94.79367250468009
113,DRB동일,2015,639083096.0,73.28,52578799.0,12.23,26.72,14.62,8.72,603059476.0,94.36323379143172
114,DRB동일,2016,701206828.0,70.94,48913644.0,12.24,29.06,12.00,8.87,551252492.0,78.61482090416838
115,DRB동일,2017,677426447.0,75.32,19130817.0,6.83,24.68,4.41,3.52,543929326.0,80.29348845307187
116,DRB동일,2018,716166879.0,78.03,11328402.0,4.96,21.97,2.56,2.08,545431367.0,76.15981456187951
117,DSR제강,2010,156770638.0,82.84,12148758.0,7.19,17.16,N/A(IFRS),8.24,147438236.0,94.0470982837998
118,DSR제강,2011,204273623.0,87.05,9433793.0,4.79,12.95,9.86,5.90,160020671.0,78.33643357860257
119,DSR제강,2012,200277496.0,90.83,1236450.0,-0.84,9.17,1.23,0.73,169058805.0,84.412282146767
120,DSR제강,2013,203893139.0,88.55,1814361.0,2.58,11.45,1.80,1.01,179491552.0,88.03216865477754
121,DSR제강,2014,202111793.0,86.53,7298960.0,4.62,13.47,6.95,3.62,201833398.0,99.86225692431515
122,DSR제강,2015,184284619.0,85.62,9867098.0,5.53,14.38,8.70,5.40,182681960.0,99.13033490874244
123,DSR제강,2016,190208395.0,87.13,8688443.0,4.44,12.87,7.11,5.04,172535899.0,90.70887696623485
124,DSR제강,2017,196090792.0,90.13,5015164.0,1.40,9.87,3.91,2.82,177545210.0,90.54234938272879
125,DSR제강,2018,205433843.0,90.44,7386782.0,3.37,9.56,5.55,3.99,185254014.0,90.17696952687587
126,E1,2010,3160705293.0,92.95,82291390.0,1.35,7.05,N/A(IFRS),1.41,5828580178.0,184.4075811467944
127,E1,2011,3270355545.0,92.3,72965002.0,1.95,7.7,6.58,1.03,7059229696.0,215.85511418759208
128,E1,2012,3512419789.0,92.11,90460964.0,1.48,7.89,7.77,1.22,7413322216.0,211.0602564994261
129,E1,2013,3629693275.0,92.23,33847406.0,1.51,7.77,2.80,0.47,7205425041.0,198.51333143294318
130,E1,2014,3658165076.0,92.01,40879737.0,1.26,7.99,3.31,0.59,6900474530.0,188.63212530434205
131,E1,2015,3509763920.0,89.75,103521.0,0.69,10.25,0.01,0.00,4614257044.0,131.4691571620008
132,E1,2016,3544179098.0,89.66,-37939686.0,0.28,10.34,-3.14,-0.95,3995900597.0,112.74544785998285
133,E1,2017,3460084198.0,90.17,86762513.0,2.13,9.83,7.13,1.97,4408216435.0,127.40199899031475
134,E1,2018,3565388941.0,93.66,79242176.0,0.30,6.34,6.17,1.71,4630199431.0,129.86519865351207
135,GKL,2010,338224675.0,72.5,73838705.0,20.57,27.5,N/A(IFRS),15.31,482429501.0,142.63580887467776
136,GKL,2011,376356788.0,67.35,63303582.0,26.70,32.65,30.66,12.30,514720870.0,136.76407239398588
137,GKL,2012,502672156.0,62.88,144055181.0,29.14,37.12,52.12,28.67,502404460.0,99.94674540914895
138,GKL,2013,562914254.0,59.97,137569887.0,34.05,40.03,37.85,24.51,561327447.0,99.71810857715462
139,GKL,2014,651013158.0,66.33,116513611.0,27.33,33.67,28.18,21.55,540680448.0,83.05215360946667
140,GKL,2015,650518244.0,69.36,91731838.0,23.41,30.64,20.67,18.14,505663483.0,77.73240607222694
141,GKL,2016,730177649.0,66.56,114342570.0,27.58,33.44,23.46,20.86,548230023.0,75.08173165130668
142,GKL,2017,731904311.0,70.8,80538567.0,21.58,29.2,15.33,16.07,501295524.0,68.49194853287317
143,GKL,2018,765759332.0,70.74,77740630.0,21.87,29.26,14.21,16.18,480339214.0,62.727177316332074
144,GS,2010,9069576000.0,77.94,979882000.0,10.63,22.06,N/A(IFRS),15.70,6242899000.0,68.83341624790398
145,GS,2011,10424837000.0,78.77,810143000.0,10.94,21.23,12.64,9.51,8518742000.0,81.71582922591499
146,GS,2012,12712426000.0,82.08,572919000.0,7.04,17.92,8.21,5.90,9715714000.0,76.42690702781671
147,GS,2013,12636266000.0,82.41,435199000.0,5.76,17.59,5.96,4.54,9583193000.0,75.83880396313279
148,GS,2014,15072770000.0,89.16,-320729000.0,-0.32,10.84,-4.38,-2.95,10866131000.0,72.09113520607029
149,GS,2015,19023008000.0,76.35,509319000.0,13.17,23.65,6.65,4.18,12179510000.0,64.0251531198431
150,GS,2016,20341172000.0,76.31,923311000.0,13.03,23.69,10.85,6.86,13462426000.0,66.18313831671057
151,GS,2017,22003689000.0,76.54,1091904000.0,13.10,23.46,11.75,7.01,15580063000.0,70.80659520319524
152,GS,2018,22630978000.0,76.93,1030460000.0,12.45,23.07,10.21,5.81,17744385000.0,78.40750408577128
153,GS건설,2010,11046358014.0,86.58,405542777.0,7.05,13.42,N/A(IFRS),4.82,8419919560.0,76.22348967260261
154,GS건설,2011,11263576376.0,88.52,427412397.0,4.76,11.48,11.06,4.72,9052234348.0,80.36731892090825
155,GS건설,2012,11775952203.0,92.01,94960951.0,1.84,7.99,2.41,0.99,9568632194.0,81.25569829981417
156,GS건설,2013,12427312942.0,103.96,-827346708.0,-9.78,-3.96,-23.35,-8.65,9565758140.0,76.97366425585905
157,GS건설,2014,13094708930.0,95.48,-22452683.0,0.54,4.52,-0.67,-0.24,9487551635.0,72.4533220686105
158,GS건설,2015,13005492988.0,94.82,29476719.0,1.15,5.18,0.85,0.28,10572620348.0,81.29349927569235
159,GS건설,2016,13376589310.0,95.58,-20431464.0,1.30,4.42,-0.61,-0.19,11035596403.0,82.49932884423735
160,GS건설,2017,13696614624.0,93.12,-163676082.0,2.73,6.88,-4.97,-1.40,11679456006.0,85.27257520653741
161,GS건설,2018,12033275313.0,87.61,587434395.0,8.10,12.39,17.12,4.47,13139372923.0,109.19199121792751
162,GS글로벌,2010,633931865.0,95.99,19723407.0,0.98,4.01,N/A(IFRS),1.20,1648525603.0,260.04775812933775
163,GS글로벌,2011,1066064452.0,96.95,-15461670.0,0.37,3.05,-8.44,-0.53,2896907396.0,271.7384854701074
164,GS글로벌,2012,1144032690.0,96.65,23676828.0,0.90,3.35,8.92,0.76,3102665767.0,271.2042928598483
165,GS글로벌,2013,700315672.0,96.81,19592910.0,0.57,3.19,7.40,0.82,2401224376.0,342.8774297085843
166,GS글로벌,2014,856611062.0,96.96,6953735.0,0.84,3.04,2.74,0.25,2769988191.0,323.3659141095705
167,GS글로벌,2015,800714753.0,95.92,-46728650.0,1.28,4.08,-20.57,-2.07,2262023464.0,282.50053536855467
168,GS글로벌,2016,1326423033.0,95.87,16073112.0,1.43,4.13,5.77,0.63,2553790920.0,192.5321602885646
169,GS글로벌,2017,1397854513.0,95.87,22495620.0,1.42,4.13,6.06,0.66,3387389006.0,242.32772255605974
170,GS글로벌,2018,1336006542.0,96.58,21058576.0,1.38,3.42,5.33,0.52,4058527569.0,303.7805161436103
171,HDC현대EP,2010,297373194.0,91.98,10872695.0,2.84,8.02,N/A(IFRS),2.09,520401188.0,174.9993605677854
172,HDC현대EP,2011,385162508.0,91.59,13896311.0,3.48,8.41,12.52,1.93,718632804.0,186.57911636612357
173,HDC현대EP,2012,483464434.0,91.55,18999595.0,3.56,8.45,15.67,2.35,807113596.0,166.94373758215272
174,HDC현대EP,2013,547238482.0,91.64,22130965.0,3.77,8.36,15.87,2.41,918199522.0,167.7878205209991
175,HDC현대EP,2014,563822640.0,90.71,27927873.0,4.53,9.29,16.99,2.96,945020584.0,167.60954898866777
176,HDC현대EP,2015,560624379.0,87.28,44857061.0,7.00,12.72,22.56,5.17,867748204.0,154.78245979024754
177,HDC현대EP,2016,577184630.0,86.32,51137731.0,8.00,13.68,21.14,5.94,861159023.0,149.1999229085501
178,HDC현대EP,2017,612710406.0,90.2,31042186.0,4.54,9.8,11.39,3.39,914353503.0,149.23094075865916
179,HDC현대EP,2018,600353780.0,92.86,8496107.0,1.58,7.14,3.02,0.93,910809614.0,151.71214779392244
180,HD현대미포,2010,9577174157.0,77.28,533219467.0,16.50,22.72,N/A(IFRS),12.89,4138124232.0,43.208196532329175
181,HD현대미포,2011,7824563657.0,85.83,202353892.0,8.30,14.17,5.23,4.38,4623857520.0,59.09412617358427
182,HD현대미포,2012,7722829117.0,91.88,87334808.0,2.13,8.12,2.57,1.98,4415350944.0,57.17271322604612
183,HD현대미포,2013,10227698199.0,99.92,-267114970.0,-6.90,0.08,-8.05,-6.70,3985834602.0,38.97098373893854
184,HD현대미포,2014,10063720316.0,113.42,-679259389.0,-21.87,-13.42,-26.29,-17.12,3967477475.0,39.42356653823367
185,HD현대미포,2015,9438010980.0,91.27,25678786.0,1.43,8.73,1.38,0.55,4652431643.0,49.294619945441084
186,HD현대미포,2016,9226316948.0,89.89,39599709.0,5.54,10.11,1.95,1.15,3446458484.0,37.35465086907829
187,HD현대미포,2017,8319438717.0,91.5,445156720.0,4.40,8.5,19.37,18.14,2453432922.0,29.49036594243597
188,HD현대미포,2018,3463733941.0,92.86,120655434.0,2.95,7.14,5.18,5.02,2403016269.0,69.37646799471658
189,HD현대인프라코어,2010,11011597355.0,76.12,157740032.0,9.70,23.88,N/A(IFRS),2.11,7481919078.0,67.94581055583829
190,HD현대인프라코어,2011,11703674631.0,78.17,310810040.0,8.03,21.83,15.38,3.67,8463085724.0,72.31135511562736
191,HD현대인프라코어,2012,11544990462.0,79.4,393342557.0,4.44,20.6,14.86,4.82,8158350960.0,70.66572282457032
192,HD현대인프라코어,2013,11481493540.0,78.71,-100949938.0,4.78,21.29,-3.08,-1.30,7736830294.0,67.38522533715592
193,HD현대인프라코어,2014,11957427427.0,77.73,23972211.0,5.89,22.27,0.70,0.31,7688557930.0,64.29943210559784
194,HD현대인프라코어,2015,11383172816.0,79.59,-859505201.0,-1.59,20.41,-26.90,-14.41,5964894252.0,52.40098124150274
195,HD현대인프라코어,2016,10026808641.0,76.87,115984856.0,8.57,23.13,3.54,2.02,5729550204.0,57.14231126912757
196,HD현대인프라코어,2017,10276090132.0,76.51,296642759.0,10.06,23.49,8.96,4.52,6567897226.0,63.91435985509124
197,HD현대인프라코어,2018,11029166692.0,76.79,394169729.0,10.97,23.21,11.27,5.10,7730107943.0,70.08786936375738
198,HJ중공업,2010,7525363000.0,89.71,-72295000.0,5.87,10.29,N/A(IFRS),-2.28,3167774000.0,42.094633840254616
199,HJ중공업,2011,7036680000.0,92.15,-96920000.0,3.09,7.85,-5.07,-3.35,2891499000.0,41.0918075001279
200,HJ중공업,2012,6585093000.0,92.51,-53214000.0,2.08,7.49,-2.97,-2.09,2549319000.0,38.7134851398454
201,HJ중공업,2013,6683379000.0,97.43,-190193000.0,-2.75,2.57,-11.34,-7.52,2529341000.0,37.845242653454186
202,HJ중공업,2014,6470284000.0,100.67,-299811000.0,-5.75,-0.67,-18.67,-11.90,2520325000.0,38.95230873946182
203,HJ중공업,2015,5754767000.0,99.63,-392257000.0,-7.29,0.37,-28.52,-12.80,3063623000.0,53.23626482184248
204,HJ중공업,2016,5278868000.0,97.88,-313395000.0,-2.82,2.12,-29.91,-11.14,2813271000.0,53.29307343922978
205,HJ중공업,2017,4206655000.0,94.83,-277978000.0,-0.12,5.17,-37.19,-16.87,1647652000.0,39.167747295654145
206,HJ중공업,2018,2733620000.0,91.71,-1283647000.0,3.63,8.29,완전잠식,-75.60,1697869000.0,62.1106444933824
207,HLB글로벌,2010,85364497.0,75.23,-10172599.0,3.13,24.77,N/A(IFRS),-57.96,17550218.0,20.559153531941973
208,HLB글로벌,2011,71972091.0,96.0,-10113216.0,-10.20,4.0,-22.03,-43.24,23387120.0,32.49470687186232
209,HLB글로벌,2012,65291329.0,102.86,-4928547.0,-17.45,-2.86,-12.70,-22.79,21625906.0,33.12217155206015
210,HLB글로벌,2013,58528489.0,102.52,-9133709.0,-16.18,-2.52,-28.51,-46.67,19571564.0,33.43938026488263
211,HLB글로벌,2014,56795640.0,86.64,-1233511.0,-0.82,13.36,-4.61,-5.39,22864464.0,40.257428211038736
212,HLB글로벌,2015,58354657.0,70.37,216541.0,8.17,29.63,0.68,1.42,15301018.0,26.220731620442905
213,HLB글로벌,2016,57821449.0,65.07,-2299975.0,11.29,34.93,-5.62,-12.60,18255841.0,31.57278365680528
214,HLB글로벌,2017,74925487.0,78.97,-739375.0,-2.98,21.03,-1.38,-4.71,15686212.0,20.93574913967526
215,HLB글로벌,2018,159993622.0,82.05,-11915113.0,-30.53,17.95,-17.63,-90.01,13237690.0,8.273886067783378
216,HMM,2010,8872377000.0,88.35,576395000.0,7.02,11.65,N/A(IFRS),7.09,8124208000.0,91.56743452177471
217,HMM,2011,8799439000.0,99.57,-534314000.0,-4.82,0.43,-24.66,-7.20,7420767000.0,84.33227390973447
218,HMM,2012,8982427000.0,101.4,-988556000.0,-6.33,-1.4,-69.57,-12.28,8046896000.0,89.58487500093237
219,HMM,2013,8842585000.0,99.49,-714020000.0,-5.13,0.51,-80.09,-10.10,7068685000.0,79.9391241362113
220,HMM,2014,7265782000.0,98.39,21759000.0,-3.61,1.61,3.17,0.33,6515039000.0,89.66741639096797
221,HMM,2015,5942501000.0,99.12,-680458000.0,-4.95,0.88,-148.87,-12.05,5645057000.0,94.99463273123555
222,HMM,2016,4398098000.0,111.27,-458201000.0,-18.18,-11.27,-77.66,-9.99,4584810000.0,104.24528966839756
223,HMM,2017,3602418000.0,102.02,-1190740000.0,-8.09,-2.02,-128.85,-23.68,5028016000.0,139.57336433473296
224,HMM,2018,4121440000.0,105.3,-790563000.0,-10.70,-5.3,-81.64,-15.14,5222124000.0,126.70629682829302
225,HS애드,2010,318191368.0,69.98,11481739.0,4.14,30.02,12.29,4.37,262861682.0,82.61119201700029
226,HS애드,2011,366689626.0,70.07,7540087.0,4.18,29.93,7.35,2.33,324079349.0,88.37974298187535
227,HS애드,2012,363912590.0,68.61,12284957.0,4.50,31.39,11.25,3.66,335845836.0,92.28750123759116
228,HS애드,2013,408525165.0,67.31,12425607.0,4.62,32.69,10.58,3.56,349083885.0,85.44978740783324
229,HS애드,2014,398436358.0,68.99,9537454.0,3.33,31.01,7.72,2.47,385598133.0,96.77784801958259
230,HS애드,2015,482838658.0,71.87,11602353.0,2.88,28.13,8.91,2.42,479291301.0,99.26531214076898
231,HS애드,2016,507061896.0,64.55,14944295.0,4.80,35.45,10.64,3.66,407958969.0,80.45545765087424
