,종목명,2020지배구조,2021지배구조,2022지배구조,2023지배구조,2024지배구조,종목코드,시장구분,업종명,시가총액
380,부광약품,B,B+,B,B+,B+,3000.0,KOSPI,의약품,437748000000.0
381,부국증권,B,C,B,C,C,1270.0,KOSPI,증권,249914000000.0
382,부국철강,C,B,D,D,D,26940.0,KOSPI,철강금속,60300000000.0
384,부산산업,C,B,B,D,D,11390.0,KOSPI,비금속광물,55756800000.0
385,부산주공,C,B,D,C,C,5030.0,KOSPI,운수장비,38288532168.0
386,비상교육,B,B+,B,B,B,100220.0,KOSPI,서비스업,62384356800.0
387,빙그레,A,A,B+,B+,B+,5180.0,KOSPI,음식료품,682691000000.0
388,사조대림,B,B+,D,C,C,3960.0,KOSPI,음식료품,343209000000.0
389,사조동아원,B,B+,C,C,C,8040.0,KOSPI,음식료품,136487000000.0
390,사조산업,D,B+,D,C,C,7160.0,KOSPI,"농업, 임업 및 어업",179500000000.0
391,사조오양,C,C,D,C,C,6090.0,KOSPI,음식료품,84804651000.0
393,SGC에너지,C,B+,B+,B,B,5090.0,KOSPI,전기가스업,330694000000.0
394,삼성SDI,B+,B+,B+,B+,B+,6400.0,KOSPI,전기전자,28984200000000.0
395,삼성공조,B,B,B,C,C,6660.0,KOSPI,운수장비,73543141700.0
396,삼성물산,B+,A,A,A+,A+,28260.0,KOSPI,유통업,27356200000000.0
397,삼성E&A,A,A,B+,A,A,28050.0,KOSPI,서비스업,5154800000000.0
398,삼성전기,B+,B+,A,A,A,9150.0,KOSPI,전기전자,10823100000000.0
399,삼성전자,C,B,B+,B+,B+,5930.0,KOSPI,전기전자,454300000000000.0
400,삼성제약,D,B,D,C,C,1360.0,KOSPI,의약품,153955000000.0
401,삼성중공업,A,B+,B+,B+,B+,10140.0,KOSPI,운수장비,8342400000000.0
402,삼성증권,B,B+,B+,B,B,16360.0,KOSPI,증권,3344290000000.0
403,삼성출판사,B,B+,B+,B,B,68290.0,KOSPI,서비스업,179100000000.0
404,삼성카드,B+,A,A,A,A,29780.0,KOSPI,기타금융,4373670000000.0
405,삼성화재,A,B+,A,A,A,810.0,KOSPI,보험,14236100000000.0
406,삼아알미늄,B,B+,B,C,C,6110.0,KOSPI,철강금속,1119580000000.0
407,삼양식품,B,A,B,A,A,3230.0,KOSPI,음식료품,2207170000000.0
411,삼양통상,D,B+,B,B+,B+,2170.0,KOSPI,기타제조업,148800000000.0
412,삼양홀딩스,B+,B,B,B+,B+,70.0,KOSPI,기타금융,586653000000.0
413,삼영무역,C,B+,B+,B+,B+,2810.0,KOSPI,유통업,235269000000.0
414,삼영전자,B,B+,C,D,D,5680.0,KOSPI,전기전자,190400000000.0
415,삼영,C,B,C,C,C,3720.0,KOSPI,화학,129880000000.0
416,삼익THK,B+,B+,C,B,B,4380.0,KOSPI,기계,278250000000.0
417,삼익악기,B,B+,D,C,C,2450.0,KOSPI,기타제조업,116513000000.0
418,삼일제약,B,B+,C,C,C,520.0,KOSPI,의약품,183800000000.0
419,삼정펄프,C,B,D,D,D,9770.0,KOSPI,종이목재,62499275000.0
420,삼진제약,B,B+,D,B+,B+,5500.0,KOSPI,의약품,273830000000.0
421,삼천리,B+,B+,C,C,C,4690.0,KOSPI,전기가스업,369818000000.0
423,삼호개발,C,B,B,B+,B+,10960.0,KOSPI,건설업,81750000000.0
424,삼화왕관,B,B,D,D,D,4450.0,KOSPI,기계,70448193300.0
425,삼화전기,B,B,D,D,D,9470.0,KOSPI,전기전자,251325000000.0
426,삼화전자,C,B,D,D,D,11230.0,KOSPI,전기전자,67526286500.0
427,삼화콘덴서,B,B,D,D,D,1820.0,KOSPI,전기전자,466736000000.0
428,삼화페인트,B+,A,B+,B+,B+,390.0,KOSPI,화학,202666000000.0
430,상신브레이크,B,B,C,C,C,41650.0,KOSPI,운수장비,82020939000.0
431,새론오토모티브,B,B,C,D,D,75180.0,KOSPI,운수장비,72960000000.0
432,샘표,C,B,C,D,D,7540.0,KOSPI,기타금융,142496000000.0
433,서연,B+,B+,B,B+,B+,7860.0,KOSPI,기타금융,214136000000.0
434,서울가스,B,A,C,C,C,17390.0,KOSPI,전기가스업,284000000000.0
435,서울식품,B,B+,D,D,D,4410.0,KOSPI,음식료품,64457956148.0
437,서원,B,B+,C,C,C,21050.0,KOSPI,철강금속,64375544040.0
438,서흥,B,B+,B+,B,B,8490.0,KOSPI,화학,249314000000.0
439,선도전기,B,B,D,D,D,7610.0,KOSPI,전기전자,54000000000.0
441,SUN&L,B+,B+,B,C,C,2820.0,KOSPI,종이목재,32591651565.0
442,성문전자,C,C,D,C,C,14910.0,KOSPI,전기전자,32029364610.0
443,성보화학,B,B+,C,C,C,3080.0,KOSPI,화학,58258200000.0
444,성신양회,C,B+,C,C,C,4980.0,KOSPI,비금속광물,206670000000.0
446,성창기업지주,C,C,D,C,C,180.0,KOSPI,서비스업,132737000000.0
447,세기상사,C,B,D,B,B,2420.0,KOSPI,유통업,43581368320.0
448,세방,B+,B+,B,B,B,4360.0,KOSPI,운수창고업,224946000000.0
449,세방전지,B,B+,C,C,C,4490.0,KOSPI,전기전자,1303400000000.0
450,세아베스틸지주,B+,B+,B,A,A,1430.0,KOSPI,철강금속,747725000000.0
451,세아제강,B,B+,B+,A,A,306200.0,KOSPI,철강금속,384886000000.0
452,세아홀딩스,B+,B+,C,B,B,58650.0,KOSPI,철강금속,429200000000.0
453,세우글로벌,C,D,D,D,D,13000.0,KOSPI,유통업,40387978617.0
454,세원이앤씨,B,B,D,D,D,91090.0,KOSPI,기계,54838923850.0
455,세원정공,D,C,D,C,C,21820.0,KOSPI,운수장비,78200000000.0
456,세이브존I&C,C,B,C,C,C,67830.0,KOSPI,유통업,96446103250.0
457,에스제이지세종,C,B,D,D,D,33530.0,KOSPI,운수장비,158858000000.0
460,송원산업,C,C,D,D,D,4430.0,KOSPI,화학,324000000000.0
461,수산중공업,B,B+,C,B,B,17550.0,KOSPI,기계,124611000000.0
462,신대양제지,C,B,D,D,D,16590.0,KOSPI,종이목재,229698000000.0
463,신도리코,B,B+,B+,C,C,29530.0,KOSPI,전기전자,373969000000.0
464,신라교역,B,B+,C,C,C,4970.0,KOSPI,"농업, 임업 및 어업",135680000000.0
466,신성이엔지,B,B+,C,D,D,11930.0,KOSPI,전기전자,428164000000.0
467,신성통상,C,B,D,D,D,5390.0,KOSPI,유통업,255657000000.0
468,신세계,A,A,B+,A,A,4170.0,KOSPI,유통업,1618550000000.0
469,신세계I&C,B+,A,B+,A,A,35510.0,KOSPI,서비스업,193500000000.0
470,신세계건설,B+,A,B+,B+,B+,34300.0,KOSPI,건설업,80709761600.0
471,신영와코루,C,B,D,D,D,5800.0,KOSPI,섬유의복,82620000000.0
472,신영증권,B+,B+,B+,B+,B+,1720.0,KOSPI,증권,625509000000.0
473,신원,C,B,C,D,D,9270.0,KOSPI,섬유의복,131311000000.0
475,신일전자,B,B+,D,D,D,2700.0,KOSPI,유통업,132362000000.0
476,신풍제약,B+,B+,D,D,D,19170.0,KOSPI,의약품,722715000000.0
477,신풍,B,B+,C,C,C,2870.0,KOSPI,유통업,29470184100.0
479,신한지주,A+,A+,A+,A+,A+,55550.0,KOSPI,기타금융,22566100000000.0
480,SHD,D,B,C,B,B,1770.0,KOSPI,철강금속,21928547900.0
481,신흥,B,B,D,C,C,4080.0,KOSPI,유통업,142120000000.0
482,쌍방울,C,C,D,D,D,102280.0,KOSPI,섬유의복,70637282701.0
483,쌍용C&E,B+,B+,B+,A,A,3410.0,KOSPI,비금속광물,3495870000000.0
484,써니전자,B,B,C,D,D,4770.0,KOSPI,전기전자,72304681480.0
485,씨아이테크,C,C,D,D,D,4920.0,KOSPI,기타제조업,59628359463.0
486,아남전자,C,B,D,C,C,8700.0,KOSPI,전기전자,141987000000.0
487,아모레퍼시픽,A,A,A,A,A,90430.0,KOSPI,화학,8288420000000.0
488,아모레G,A,A,B+,A,A,2790.0,KOSPI,화학,2506730000000.0
489,메타랩스,B,B+,D,D,D,90370.0,KOSPI,섬유의복,44828440200.0
490,아세아,C,B+,B+,A,A,2030.0,KOSPI,서비스업,490830000000.0
491,아세아제지,B,B,D,D,D,2310.0,KOSPI,종이목재,385577000000.0
493,아시아나항공,D,D,C,B+,B+,20560.0,KOSPI,운수창고업,798438000000.0
494,아이에스동서,B+,B+,B+,B+,B+,10780.0,KOSPI,비금속광물,781843000000.0
495,IHQ,B+,B,D,D,D,3560.0,KOSPI,서비스업,58906362440.0
497,알루코,B,B,D,D,D,1780.0,KOSPI,철강금속,314699000000.0
500,에넥스,B,B,C,C,C,11090.0,KOSPI,기타제조업,28915970962.0
501,에스엘,D,B+,B+,B+,B+,5850.0,KOSPI,운수장비,1439900000000.0
502,에스원,B+,A,B,B+,B+,12750.0,KOSPI,서비스업,2317950000000.0
503,SJM홀딩스,B,B,C,C,C,25530.0,KOSPI,유통업,54882479400.0
504,에쓰씨엔지니어링,B,B,D,D,D,23960.0,KOSPI,건설업,49423494464.0
505,에이엔피,C,B,D,D,D,15260.0,KOSPI,전기전자,52019778782.0
506,에이프로젠,C,C,D,D,D,7460.0,KOSPI,기계,384544000000.0
507,에이프로젠바이오로직스,C,C,D,D,D,3060.0,KOSPI,의약품,101062000000.0
508,엔씨소프트,A,A,A,A,A,36570.0,KOSPI,서비스업,3740970000000.0
509,엔케이,C,C,D,C,C,85310.0,KOSPI,기계,70705283168.0
510,플레이그램,C,C,D,D,D,9810.0,KOSPI,유통업,73895359021.0
511,NPC,C,C,D,D,D,4250.0,KOSPI,화학,188006000000.0
512,영보화학,B,B,D,D,D,14440.0,KOSPI,화학,68800000000.0
513,영원무역,B+,B+,B+,B+,B+,111770.0,KOSPI,유통업,1699340000000.0
514,영원무역홀딩스,B,A,C,B+,B+,9970.0,KOSPI,기타금융,1206750000000.0
515,영진약품,B+,B+,B,B+,B+,3520.0,KOSPI,의약품,375845000000.0
516,영풍,D,B+,B,B,B,670.0,KOSPI,철강금속,723922000000.0
517,영풍제지,B,B,D,C,C,6740.0,KOSPI,종이목재,86038455948.0
518,영화금속,B,B+,C,C,C,12280.0,KOSPI,운수장비,45361435390.0
519,예스코홀딩스,B+,B+,B,B+,B+,15360.0,KOSPI,서비스업,233400000000.0
520,오뚜기,B,B+,C,B+,B+,7310.0,KOSPI,음식료품,1649220000000.0
521,오리엔트바이오,C,C,D,D,D,2630.0,KOSPI,의약품,62848992650.0
522,오리온홀딩스,A,A,A,A,A,1800.0,KOSPI,기타금융,888939000000.0
523,웰바이오텍,B,B,D,D,D,10600.0,KOSPI,유통업,49553256815.0
524,우리금융지주,B+,A,B+,A,A,316140.0,KOSPI,기타금융,10507700000000.0
525,팜젠사이언스,C,C,D,D,D,4720.0,KOSPI,의약품,94164759500.0
526,에스메디,B,B,D,C,C,118000.0,KOSPI,유통업,74672560849.0
528,우성,C,B+,B,C,C,6980.0,KOSPI,음식료품,60193200000.0
529,우신시스템,B+,B+,C,B,B,17370.0,KOSPI,기계,163911000000.0
530,우진플라임,B,B,D,C,C,49800.0,KOSPI,기계,54200000000.0
531,웅진,B+,B+,C,B,B,16880.0,KOSPI,서비스업,90397527480.0
532,웅진씽크빅,B,B+,B+,B,B,95720.0,KOSPI,서비스업,250648000000.0
533,원림,C,B,C,C,C,5820.0,KOSPI,섬유의복,42857140500.0
534,윌비스,C,B+,C,D,D,8600.0,KOSPI,유통업,32609478915.0
535,유나이티드제약,B,B+,B+,B+,B+,33270.0,KOSPI,의약품,372411000000.0
536,유니드,B,B+,B,B,B,14830.0,KOSPI,화학,550883000000.0
537,유니온,C,B,B,B,B,910.0,KOSPI,비금속광물,85707788310.0
538,유니온머티리얼,B,B,C,C,C,47400.0,KOSPI,비금속광물,120750000000.0
540,유니퀘스트,B+,B+,D,B,B,77500.0,KOSPI,유통업,145584000000.0
541,유성기업,C,C,C,C,C,2920.0,KOSPI,운수장비,69669037500.0
542,유수홀딩스,B+,A,B+,B+,B+,700.0,KOSPI,서비스업,141928000000.0
543,유안타증권,B,B,B,B,B,3470.0,KOSPI,증권,539909000000.0
545,유엔젤,C,B,D,D,D,72130.0,KOSPI,서비스업,44600634520.0
546,유유제약,B,B+,D,D,D,220.0,KOSPI,의약품,80052049700.0
547,유진투자증권,B,B,B,B,B,1200.0,KOSPI,증권,398605000000.0
548,유한양행,B+,B+,B+,A,A,100.0,KOSPI,의약품,5742970000000.0
549,유화증권,B,C,C,C,C,3460.0,KOSPI,증권,125312000000.0
550,율촌화학,B+,B+,C,D,D,8730.0,KOSPI,화학,820880000000.0
551,이건산업,B,B+,D,D,D,8250.0,KOSPI,종이목재,59253755350.0
552,이구산업,B,B+,C,C,C,25820.0,KOSPI,철강금속,221720000000.0
553,이수페타시스,C,C,D,C,C,7660.0,KOSPI,전기전자,2270550000000.0
554,이수화학,C,B,D,D,D,5950.0,KOSPI,화학,266311000000.0
555,이스타코,B,B,C,C,C,15020.0,KOSPI,서비스업,32995732000.0
556,이아이디,C,C,D,D,D,93230.0,KOSPI,유통업,354103000000.0
557,이월드,B,B,D,D,D,84680.0,KOSPI,기타제조업,279075000000.0
558,이화산업,C,B,D,C,C,760.0,KOSPI,유통업,40012000000.0
559,인디에프,B,B,C,C,C,14990.0,KOSPI,섬유의복,51076836600.0
560,인스코비,C,B,D,D,D,6490.0,KOSPI,통신업,141532000000.0
561,인지컨트롤스,C,B,D,C,C,23800.0,KOSPI,운수장비,118253000000.0
562,인천도시가스,B+,B,B,B+,B+,34590.0,KOSPI,전기가스업,110900000000.0
563,인팩,B,B+,B,B,B,23810.0,KOSPI,운수장비,83800000000.0
564,일동홀딩스,B+,A,B+,B+,B+,230.0,KOSPI,의약품,99593652000.0
565,일성건설,B,B+,C,D,D,13360.0,KOSPI,건설업,78282051120.0
566,일성아이에스,B,B+,D,B,B,3120.0,KOSPI,의약품,255626000000.0
567,일신방직,B,A,D,D,D,3200.0,KOSPI,섬유의복,200441000000.0
568,일신석재,B,B,C,C,C,7110.0,KOSPI,유통업,82491289650.0
569,일양약품,B+,B+,B+,B+,B+,7570.0,KOSPI,의약품,264527000000.0
570,일정실업,C,C,C,C,C,8500.0,KOSPI,섬유의복,18840000000.0
571,일진다이아,B,B,C,C,C,81000.0,KOSPI,화학,181656000000.0
572,일진디스플,B,B,C,C,C,20760.0,KOSPI,전기전자,55171216611.0
573,일진전기,C,B,D,D,D,103590.0,KOSPI,전기전자,911268000000.0
574,일진홀딩스,B,B,B,B+,B+,15860.0,KOSPI,기타금융,202078000000.0
575,자화전자,B,B+,C,D,D,33240.0,KOSPI,전기전자,533956000000.0
576,전방,C,B,D,D,D,950.0,KOSPI,섬유의복,33684000000.0
579,제이준코스메틱,B,B,C,D,D,25620.0,KOSPI,화학,28792711320.0
580,제일기획,B+,B+,A,A,A,30000.0,KOSPI,서비스업,2160470000000.0
582,제일연마,B,B+,B+,B,B,1560.0,KOSPI,비금속광물,85100000000.0
584,제일파마홀딩스,B,B,D,D,D,2620.0,KOSPI,서비스업,163887000000.0
585,조광페인트,B,B,C,C,C,4910.0,KOSPI,화학,79232000000.0
586,조광피혁,B,B,B,B,B,4700.0,KOSPI,기타제조업,335117000000.0
587,조비,B,B,D,D,D,1550.0,KOSPI,화학,66201047250.0
589,조일알미늄,B,B+,B,B,B,18470.0,KOSPI,철강금속,298218000000.0
590,조흥,B,B,C,C,C,2600.0,KOSPI,음식료품,104520000000.0
591,종근당바이오,C,B+,B,B,B,63160.0,KOSPI,의약품,128646000000.0
592,종근당홀딩스,C,B+,B,B+,B+,1630.0,KOSPI,의약품,309609000000.0
593,주연테크,C,C,D,D,D,44380.0,KOSPI,전기전자,27350050728.0
596,HS애드,B+,B,B+,B+,B+,35000.0,KOSPI,서비스업,103215000000.0
597,진도,B,C,C,D,D,88790.0,KOSPI,유통업,29252198400.0
598,진양산업,C,C,D,B,B,3780.0,KOSPI,화학,85540000000.0
599,진양폴리,B,B+,C,C,C,10640.0,KOSPI,화학,62700000000.0
600,진양홀딩스,C,B,D,B,B,100250.0,KOSPI,화학,179703000000.0
601,진양화학,C,B,C,C,C,51630.0,KOSPI,화학,56248000000.0
602,진원생명과학,B,B+,D,D,D,11000.0,KOSPI,의약품,194895000000.0
603,진흥기업,B,B+,B,B,B,2780.0,KOSPI,건설업,137180000000.0
605,참엔지니어링,B,B+,B,D,D,9310.0,KOSPI,기계,37171929522.0
606,천일고속,B+,B+,D,D,D,650.0,KOSPI,운수창고업,67459184000.0
607,청호ICT,C,D,D,D,D,12600.0,KOSPI,기계,116120000000.0
608,체시스,C,B,C,D,D,33250.0,KOSPI,운수장비,39520000000.0
609,카프로,B+,B+,C,C,C,6380.0,KOSPI,화학,29280000000.0
612,케이씨,B+,B+,C,D,D,29460.0,KOSPI,의료정밀,284635000000.0
613,KCC,C,B,A,B+,B+,2380.0,KOSPI,화학,2146080000000.0
614,KCTC,B,B,D,D,D,9070.0,KOSPI,운수창고업,113100000000.0
615,KT,A+,A+,A,A,A,30200.0,KOSPI,통신업,8820760000000.0
616,KT&G,A,A,A,A+,A+,33780.0,KOSPI,기타제조업,11846300000000.0
618,코리아써키트,C,B+,D,D,D,7810.0,KOSPI,전기전자,365413000000.0
619,코리안리,B+,A,B+,A,A,3690.0,KOSPI,보험,1319630000000.0
620,코스맥스비티아이,B,B+,B,C,C,44820.0,KOSPI,기타금융,91333288710.0
621,코스모신소재,B+,B,D,C,C,5070.0,KOSPI,화학,4931880000000.0
622,코스모화학,D,B,D,D,D,5420.0,KOSPI,화학,1219460000000.0
623,코아스,B+,B+,B+,B+,B+,71950.0,KOSPI,기타제조업,14062780550.0
624,코오롱,B,B,C,B,B,2020.0,KOSPI,기타금융,202780000000.0
625,코오롱글로벌,B+,B+,B+,C,C,3070.0,KOSPI,건설업,161496000000.0
627,코웨이,B+,B+,B,B+,B+,21240.0,KOSPI,서비스업,4125400000000.0
628,콤텍시스템,C,C,D,D,D,31820.0,KOSPI,서비스업,82557099812.0
629,크라운해태홀딩스,B,B,C,D,D,5740.0,KOSPI,기타금융,88341714650.0
630,키움증권,B+,B,B,B,B,39490.0,KOSPI,증권,3435700000000.0
632,태경산업,B,B+,C,C,C,15890.0,KOSPI,화학,172157000000.0
633,태경케미컬,C,B,D,D,D,6890.0,KOSPI,화학,157180000000.0
634,태광산업,D,B+,C,C,C,3240.0,KOSPI,화학,702555000000.0
635,태림포장,C,C,C,D,D,11280.0,KOSPI,종이목재,199673000000.0
636,태양금속,B,B,D,D,D,4100.0,KOSPI,운수장비,72188900000.0
637,태영건설,B+,B+,B+,B+,B+,9410.0,KOSPI,건설업,89856916380.0
638,태원물산,B,B,D,D,D,1420.0,KOSPI,운수장비,31464000000.0
639,TP,B,B,D,D,D,7980.0,KOSPI,섬유의복,85001890930.0
641,텔코웨어,B,B,C,B,B,78000.0,KOSPI,서비스업,99452736500.0
642,TBH글로벌,B+,B+,C,C,C,84870.0,KOSPI,섬유의복,36979140087.0
643,티에이치엔,B,B+,D,C,C,19180.0,KOSPI,전기전자,63900000000.0
645,파미셀,B,B+,D,D,D,5690.0,KOSPI,의약품,340296000000.0
647,팜스코,B+,B+,C,A,A,36580.0,KOSPI,음식료품,106327000000.0
648,팬오션,A,A,C,A,A,28670.0,KOSPI,운수창고업,2205100000000.0
649,퍼스텍,C,B,C,C,C,10820.0,KOSPI,기계,163630000000.0
650,퍼시스,B,B,D,D,D,16800.0,KOSPI,기타제조업,407100000000.0
651,페이퍼코리아,C,B,D,D,D,1020.0,KOSPI,종이목재,150574000000.0
652,평화산업,B,B+,B,C,C,90080.0,KOSPI,운수장비,61490530080.0
653,평화홀딩스,B+,B+,B+,B+,B+,10770.0,KOSPI,운수장비,43876398000.0
654,POSCO홀딩스,A+,A+,A+,A+,A+,5490.0,KOSPI,철강금속,33405600000000.0
655,포스코스틸리온,B+,A,B+,B+,B+,58430.0,KOSPI,철강금속,279300000000.0
656,포스코인터내셔널,A+,A+,A,A,A,47050.0,KOSPI,유통업,7890140000000.0
659,풀무원,A+,A+,A,A,A,17810.0,KOSPI,음식료품,470026000000.0
661,풍산,B+,A,B+,B+,B+,103140.0,KOSPI,철강금속,1670250000000.0
662,풍산홀딩스,B,B+,B+,B+,B+,5810.0,KOSPI,기타금융,418822000000.0
663,KH필룩스,B,C,D,D,D,33180.0,KOSPI,전기전자,120579000000.0
664,하나금융지주,A,A,A,A,A,86790.0,KOSPI,기타금융,16664300000000.0
666,BNK금융지주,A+,A+,A,A,A,138930.0,KOSPI,기타금융,2589590000000.0
667,DGB금융지주,A+,A+,A,A,A,139130.0,KOSPI,기타금융,1400530000000.0
668,KC코트렐,B,B+,C,C,C,119650.0,KOSPI,기계,79395600889.0
669,KTcs,B+,A,A,A,A,58850.0,KOSPI,서비스업,134244000000.0
671,금호타이어,B+,B+,B,B+,B+,73240.0,KOSPI,화학,1835590000000.0
673,대성산업,C,B+,D,D,D,128820.0,KOSPI,유통업,169633000000.0
674,대성에너지,B,B,C,C,C,117580.0,KOSPI,전기가스업,244750000000.0
675,도화엔지니어링,B+,B+,C,B,B,2150.0,KOSPI,서비스업,251214000000.0
677,한화엔진,A,A,B+,B+,B+,82740.0,KOSPI,기계,959642000000.0
678,락앤락,C,B+,B,B,B,115390.0,KOSPI,화학,376073000000.0
679,롯데하이마트,A,A,A,A,A,71840.0,KOSPI,유통업,217899000000.0
680,무학,C,B+,B,C,C,33920.0,KOSPI,음식료품,145065000000.0
681,벽산,C,B,D,D,D,7210.0,KOSPI,비금속광물,143903000000.0
682,삼부토건,B,B+,C,C,C,1470.0,KOSPI,건설업,344177000000.0
683,삼성생명,B+,B+,B+,B+,B+,32830.0,KOSPI,보험,16840000000000.0
684,삼양사,B,B+,B,B,B,145990.0,KOSPI,음식료품,503296000000.0
685,삼원강재,B,B,C,B+,B+,23000.0,KOSPI,운수장비,109600000000.0
687,세아특수강,B,B+,A,A,A,19440.0,KOSPI,철강금속,116381000000.0
688,신세계인터내셔날,A,A,B+,A,A,31430.0,KOSPI,유통업,637245000000.0
689,신세계푸드,B+,A,B+,A,A,31440.0,KOSPI,서비스업,132439000000.0
691,아이마켓코리아,B+,B+,C,C,C,122900.0,KOSPI,유통업,280468000000.0
692,인바이오젠,C,C,D,D,D,101140.0,KOSPI,유통업,93812977440.0
693,SJM,C,B+,C,C,C,123700.0,KOSPI,운수장비,54461094020.0
694,에이블씨엔씨,C,B+,B,C,C,78520.0,KOSPI,화학,169612000000.0
695,영흥,B+,B+,B,C,C,12160.0,KOSPI,철강금속,50047323768.0
696,우진,B+,B+,B,C,C,105840.0,KOSPI,의료정밀,167873000000.0
698,유니켐,B,B+,D,D,D,11330.0,KOSPI,기타제조업,159327000000.0
699,이마트,A,A,B+,A,A,139480.0,KOSPI,유통업,1714360000000.0
700,이연제약,B,B+,B+,B+,B+,102460.0,KOSPI,의약품,247948000000.0
701,롯데에너지머티리얼즈,C,B,D,C,C,20150.0,KOSPI,전기전자,2051930000000.0
702,조선선재,B+,B+,C,D,D,120030.0,KOSPI,기계,122747000000.0
703,지역난방공사,B+,A,A+,A,A,71320.0,KOSPI,전기가스업,470097000000.0
704,KTis,B+,A,B+,B+,B+,58860.0,KOSPI,서비스업,98315650000.0
705,스카이라이프,B+,A,A,B+,B+,53210.0,KOSPI,서비스업,257574000000.0
706,코오롱인더,B+,A,A,B,B,120110.0,KOSPI,화학,983808000000.0
707,코오롱플라스틱,B+,B+,B+,B+,B+,138490.0,KOSPI,화학,267140000000.0
708,티웨이홀딩스,C,B,D,D,D,4870.0,KOSPI,비금속광물,47993027990.0
709,하나투어,B,B+,B+,B+,B+,39130.0,KOSPI,서비스업,936688000000.0
710,한국항공우주,B+,B+,D,B+,B+,47810.0,KOSPI,운수장비,4883500000000.0
711,한국화장품,B,B,C,D,D,123690.0,KOSPI,유통업,107495000000.0
712,HL홀딩스,A,A,B+,A,A,60980.0,KOSPI,기타금융,343726000000.0
713,한미약품,B+,A,B,B,B,128940.0,KOSPI,의약품,4016250000000.0
714,한세엠케이,B,B+,C,C,C,69640.0,KOSPI,유통업,64277381770.0
715,한전산업,B+,B+,C,B,B,130660.0,KOSPI,서비스업,230156000000.0
716,한화생명,B+,B+,B+,B+,B+,88350.0,KOSPI,보험,2410170000000.0
719,현대위아,A,A,B+,A,A,11210.0,KOSPI,운수장비,1558280000000.0
720,현대홈쇼핑,A,A,A,A,A,57050.0,KOSPI,유통업,684000000000.0
721,휠라홀딩스,B+,A,B+,B+,B+,81660.0,KOSPI,유통업,2460460000000.0
722,GS리테일,B+,A,A,A,A,7070.0,KOSPI,유통업,2043050000000.0
723,메리츠금융지주,A,A,B+,B+,B+,138040.0,KOSPI,기타금융,15456900000000.0
724,미원화학,C,B+,C,C,C,134380.0,KOSPI,화학,155488000000.0
725,선진,B+,B,C,A,A,136490.0,KOSPI,음식료품,176920000000.0
726,인터지스,B+,B+,C,C,C,129260.0,KOSPI,운수창고업,68122631460.0
727,제주은행,A,A,B+,B+,B+,6220.0,KOSPI,은행,491892000000.0
728,시디즈,B,C,C,D,D,134790.0,KOSPI,기타제조업,59000000000.0
729,한국종합기술,B,B+,B,B,B,23350.0,KOSPI,서비스업,59349000000.0
731,LG헬로비전,A,A,A,A,A,37560.0,KOSPI,서비스업,254413000000.0
732,대한해운,B,B+,C,D,D,5880.0,KOSPI,운수창고업,576754000000.0
733,동일고무벨트,B+,B+,B,B+,B+,163560.0,KOSPI,화학,111339000000.0
734,사조씨푸드,B,B+,B,B,B,14710.0,KOSPI,음식료품,58198675340.0
735,애경케미칼,B,B,B+,B+,B+,161000.0,KOSPI,화학,586217000000.0
736,지엠비코리아,C,B,D,D,D,13870.0,KOSPI,운수장비,80771105800.0
738,한국콜마,B+,B+,B+,A,A,161890.0,KOSPI,화학,1156650000000.0
739,한국타이어앤테크놀로지,B,B,C,D,D,161390.0,KOSPI,화학,7209530000000.0
740,휴비스,B+,A,B+,B+,B+,79980.0,KOSPI,화학,127650000000.0
741,DSR,C,B,D,D,D,155660.0,KOSPI,철강금속,66160000000.0
742,JB금융지주,A+,A+,A,A,A,175330.0,KOSPI,기타금융,2450240000000.0
743,NHN,B+,A,A,A,A,181710.0,KOSPI,서비스업,771556000000.0
744,동아에스티,A,A,A,A,A,170900.0,KOSPI,의약품,611349000000.0
745,한진칼,A,A,A,A,A,180640.0,KOSPI,운수창고업,3925620000000.0
746,현대로템,B+,A,A,A,A,64350.0,KOSPI,운수장비,4376610000000.0
747,신송홀딩스,B+,B,C,B,B,6880.0,KOSPI,유통업,88479857840.0
748,아세아시멘트,B,B,C,B,B,183190.0,KOSPI,비금속광물,386944000000.0
749,종근당,B+,B+,B,B,B,185750.0,KOSPI,의약품,1343790000000.0
750,AJ네트웍스,B,B,B+,B+,B+,95570.0,KOSPI,서비스업,213593000000.0
751,BGF,B+,A,B,B+,B+,27410.0,KOSPI,기타금융,351281000000.0
753,디와이파워,B,B+,B,C,C,210540.0,KOSPI,기계,141223000000.0
754,HL만도,A,A,B+,A,A,204320.0,KOSPI,운수장비,1537850000000.0
755,미래에셋생명,B,B+,B+,B+,B+,85620.0,KOSPI,보험,873575000000.0
756,코스맥스,B,B+,C,D,D,192820.0,KOSPI,화학,1503810000000.0
757,쿠쿠홀딩스,B+,B+,B,D,D,192400.0,KOSPI,기타금융,663946000000.0
758,화인베스틸,B,B,D,D,D,133820.0,KOSPI,철강금속,39796518338.0
759,삼성에스디에스,A,A,A,B+,B+,18260.0,KOSPI,서비스업,11676300000000.0
760,서연이화,B+,A,B+,B,B,200880.0,KOSPI,운수장비,480836000000.0
761,씨에스윈드,B,B+,C,A,A,112610.0,KOSPI,기계,2146520000000.0
763,JW생명과학,B+,B,C,B,B,234080.0,KOSPI,의약품,193657000000.0
